Image A,Image B,Distances
part1-images/bigben_10.jpg,part1-images/sanmarco_5.jpg,45.5
part1-images/bigben_10.jpg,part1-images/tatemodern_11.jpg,53.36363636363637
part1-images/bigben_10.jpg,part1-images/tatemodern_14.jpg,49.0
part1-images/bigben_10.jpg,part1-images/tatemodern_13.jpg,48.0625
part1-images/bigben_10.jpg,part1-images/tatemodern_16.jpg,49.714285714285715
part1-images/bigben_10.jpg,part1-images/tatemodern_2.jpg,41.2
part1-images/bigben_10.jpg,part1-images/tatemodern_4.jpg,57.42857142857143
part1-images/bigben_10.jpg,part1-images/tatemodern_24.jpg,48.875
part1-images/bigben_10.jpg,part1-images/tatemodern_8.jpg,45.18181818181818
part1-images/bigben_10.jpg,part1-images/tatemodern_6.jpg,42.88235294117647
part1-images/bigben_10.jpg,part1-images/tatemodern_9.jpg,44.5
part1-images/bigben_10.jpg,part1-images/trafalgarsquare_15.jpg,48.5
part1-images/bigben_10.jpg,part1-images/trafalgarsquare_16.jpg,48.9
part1-images/bigben_10.jpg,part1-images/trafalgarsquare_20.jpg,47.0
part1-images/bigben_10.jpg,part1-images/trafalgarsquare_21.jpg,1.7e+308
part1-images/bigben_10.jpg,part1-images/trafalgarsquare_22.jpg,49.8
part1-images/bigben_12.jpg,part1-images/bigben_13.jpg,47.25
part1-images/bigben_10.jpg,part1-images/trafalgarsquare_25.jpg,49.1
part1-images/bigben_12.jpg,part1-images/bigben_14.jpg,47.875
part1-images/bigben_12.jpg,part1-images/bigben_16.jpg,50.0
part1-images/bigben_12.jpg,part1-images/bigben_3.jpg,1.7e+308
part1-images/bigben_12.jpg,part1-images/bigben_6.jpg,46.833333333333336
part1-images/bigben_12.jpg,part1-images/bigben_2.jpg,52.642857142857146
part1-images/bigben_12.jpg,part1-images/bigben_7.jpg,45.541666666666664
part1-images/bigben_12.jpg,part1-images/bigben_8.jpg,47.84615384615385
part1-images/bigben_12.jpg,part1-images/colosseum_11.jpg,47.166666666666664
part1-images/bigben_12.jpg,part1-images/colosseum_12.jpg,1.7e+308
part1-images/bigben_12.jpg,part1-images/colosseum_13.jpg,48.55555555555556
part1-images/bigben_12.jpg,part1-images/colosseum_15.jpg,49.333333333333336
part1-images/bigben_12.jpg,part1-images/colosseum_3.jpg,49.07692307692308
part1-images/bigben_12.jpg,part1-images/colosseum_18.jpg,42.857142857142854
part1-images/bigben_12.jpg,part1-images/colosseum_4.jpg,49.666666666666664
part1-images/bigben_12.jpg,part1-images/colosseum_5.jpg,53.111111111111114
part1-images/bigben_12.jpg,part1-images/colosseum_6.jpg,39.857142857142854
part1-images/bigben_12.jpg,part1-images/colosseum_8.jpg,45.07142857142857
part1-images/bigben_12.jpg,part1-images/eiffel_1.jpg,50.578947368421055
part1-images/bigben_12.jpg,part1-images/eiffel_19.jpg,38.09090909090909
part1-images/bigben_12.jpg,part1-images/eiffel_18.jpg,49.0
part1-images/bigben_12.jpg,part1-images/eiffel_15.jpg,48.75
part1-images/bigben_12.jpg,part1-images/eiffel_22.jpg,1.7e+308
part1-images/bigben_12.jpg,part1-images/eiffel_3.jpg,51.0
part1-images/bigben_12.jpg,part1-images/eiffel_2.jpg,45.5
part1-images/bigben_12.jpg,part1-images/eiffel_5.jpg,42.333333333333336
part1-images/bigben_12.jpg,part1-images/eiffel_6.jpg,47.0
part1-images/bigben_12.jpg,part1-images/empirestate_10.jpg,47.125
part1-images/bigben_12.jpg,part1-images/eiffel_7.jpg,47.0
part1-images/bigben_12.jpg,part1-images/empirestate_12.jpg,46.35294117647059
part1-images/bigben_12.jpg,part1-images/empirestate_15.jpg,49.5
part1-images/bigben_12.jpg,part1-images/empirestate_14.jpg,48.714285714285715
part1-images/bigben_12.jpg,part1-images/empirestate_16.jpg,43.74074074074074
part1-images/bigben_12.jpg,part1-images/empirestate_22.jpg,49.53846153846154
part1-images/bigben_12.jpg,part1-images/empirestate_25.jpg,52.125
part1-images/bigben_12.jpg,part1-images/empirestate_23.jpg,51.0
part1-images/bigben_12.jpg,part1-images/empirestate_27.jpg,46.54545454545455
part1-images/bigben_12.jpg,part1-images/empirestate_9.jpg,48.470588235294116
part1-images/bigben_12.jpg,part1-images/londoneye_12.jpg,48.5
part1-images/bigben_12.jpg,part1-images/londoneye_16.jpg,52.4
part1-images/bigben_12.jpg,part1-images/londoneye_13.jpg,45.78260869565217
part1-images/bigben_12.jpg,part1-images/londoneye_2.jpg,51.333333333333336
part1-images/bigben_12.jpg,part1-images/londoneye_17.jpg,45.8125
part1-images/bigben_12.jpg,part1-images/londoneye_22.jpg,47.5
part1-images/bigben_12.jpg,part1-images/londoneye_21.jpg,46.111111111111114
part1-images/bigben_12.jpg,part1-images/londoneye_23.jpg,46.5
part1-images/bigben_12.jpg,part1-images/londoneye_8.jpg,47.666666666666664
part1-images/bigben_12.jpg,part1-images/louvre_10.jpg,1.7e+308
part1-images/bigben_12.jpg,part1-images/londoneye_9.jpg,50.333333333333336
part1-images/bigben_12.jpg,part1-images/louvre_11.jpg,48.285714285714285
part1-images/bigben_12.jpg,part1-images/louvre_13.jpg,52.06666666666667
part1-images/bigben_12.jpg,part1-images/louvre_15.jpg,1.7e+308
part1-images/bigben_12.jpg,part1-images/louvre_14.jpg,46.25
part1-images/bigben_12.jpg,part1-images/louvre_16.jpg,45.266666666666666
part1-images/bigben_12.jpg,part1-images/louvre_3.jpg,54.8
part1-images/bigben_12.jpg,part1-images/louvre_8.jpg,48.4
part1-images/bigben_12.jpg,part1-images/louvre_4.jpg,47.0
part1-images/bigben_12.jpg,part1-images/louvre_9.jpg,50.5
part1-images/bigben_12.jpg,part1-images/notredame_14.jpg,52.666666666666664
part1-images/bigben_12.jpg,part1-images/notredame_19.jpg,46.5
part1-images/bigben_12.jpg,part1-images/notredame_1.jpg,36.2
part1-images/bigben_12.jpg,part1-images/notredame_20.jpg,39.371428571428574
part1-images/bigben_12.jpg,part1-images/notredame_4.jpg,48.1875
part1-images/bigben_12.jpg,part1-images/notredame_24.jpg,46.333333333333336
part1-images/bigben_12.jpg,part1-images/notredame_25.jpg,40.592592592592595
part1-images/bigben_12.jpg,part1-images/notredame_8.jpg,49.75
part1-images/bigben_12.jpg,part1-images/sanmarco_1.jpg,52.0
part1-images/bigben_12.jpg,part1-images/notredame_5.jpg,50.5625
part1-images/bigben_12.jpg,part1-images/sanmarco_14.jpg,38.473684210526315
part1-images/bigben_12.jpg,part1-images/sanmarco_13.jpg,49.75
part1-images/bigben_12.jpg,part1-images/sanmarco_19.jpg,50.0
part1-images/bigben_12.jpg,part1-images/sanmarco_18.jpg,51.72727272727273
part1-images/bigben_12.jpg,part1-images/sanmarco_3.jpg,52.22222222222222
part1-images/bigben_12.jpg,part1-images/tatemodern_11.jpg,50.666666666666664
part1-images/bigben_12.jpg,part1-images/sanmarco_5.jpg,41.333333333333336
part1-images/bigben_12.jpg,part1-images/sanmarco_4.jpg,50.285714285714285
part1-images/bigben_12.jpg,part1-images/tatemodern_13.jpg,44.04545454545455
part1-images/bigben_12.jpg,part1-images/tatemodern_14.jpg,54.285714285714285
part1-images/bigben_12.jpg,part1-images/tatemodern_16.jpg,48.92307692307692
part1-images/bigben_12.jpg,part1-images/tatemodern_2.jpg,43.833333333333336
part1-images/bigben_12.jpg,part1-images/tatemodern_24.jpg,46.0
part1-images/bigben_12.jpg,part1-images/tatemodern_4.jpg,51.61538461538461
part1-images/bigben_12.jpg,part1-images/tatemodern_8.jpg,44.42857142857143
part1-images/bigben_12.jpg,part1-images/tatemodern_6.jpg,44.5
part1-images/bigben_12.jpg,part1-images/tatemodern_9.jpg,41.64705882352941
part1-images/bigben_12.jpg,part1-images/trafalgarsquare_15.jpg,48.111111111111114
part1-images/bigben_12.jpg,part1-images/trafalgarsquare_16.jpg,51.333333333333336
part1-images/bigben_12.jpg,part1-images/trafalgarsquare_20.jpg,49.75
part1-images/bigben_12.jpg,part1-images/trafalgarsquare_21.jpg,38.5
part1-images/bigben_12.jpg,part1-images/trafalgarsquare_22.jpg,49.93333333333333
part1-images/bigben_13.jpg,part1-images/bigben_14.jpg,52.666666666666664
part1-images/bigben_12.jpg,part1-images/trafalgarsquare_25.jpg,48.333333333333336
part1-images/bigben_13.jpg,part1-images/bigben_16.jpg,49.2
part1-images/bigben_13.jpg,part1-images/bigben_3.jpg,46.75
part1-images/bigben_13.jpg,part1-images/bigben_6.jpg,49.166666666666664
part1-images/bigben_13.jpg,part1-images/bigben_2.jpg,54.285714285714285
part1-images/bigben_13.jpg,part1-images/bigben_7.jpg,47.0
part1-images/bigben_13.jpg,part1-images/bigben_8.jpg,52.0
part1-images/bigben_13.jpg,part1-images/colosseum_13.jpg,49.93333333333333
part1-images/bigben_13.jpg,part1-images/colosseum_12.jpg,52.333333333333336
part1-images/bigben_13.jpg,part1-images/colosseum_11.jpg,50.25
part1-images/bigben_13.jpg,part1-images/colosseum_15.jpg,57.0
part1-images/bigben_13.jpg,part1-images/colosseum_18.jpg,50.8
part1-images/bigben_13.jpg,part1-images/colosseum_3.jpg,49.470588235294116
part1-images/bigben_13.jpg,part1-images/colosseum_4.jpg,51.0
part1-images/bigben_13.jpg,part1-images/colosseum_5.jpg,48.642857142857146
part1-images/bigben_13.jpg,part1-images/colosseum_6.jpg,47.666666666666664
part1-images/bigben_13.jpg,part1-images/colosseum_8.jpg,52.166666666666664
part1-images/bigben_13.jpg,part1-images/eiffel_1.jpg,53.8
part1-images/bigben_13.jpg,part1-images/eiffel_18.jpg,48.333333333333336
part1-images/bigben_13.jpg,part1-images/eiffel_19.jpg,1.7e+308
part1-images/bigben_13.jpg,part1-images/eiffel_15.jpg,54.0
part1-images/bigben_13.jpg,part1-images/eiffel_2.jpg,51.916666666666664
part1-images/bigben_13.jpg,part1-images/eiffel_22.jpg,54.4
part1-images/bigben_13.jpg,part1-images/eiffel_3.jpg,56.0
part1-images/bigben_13.jpg,part1-images/eiffel_5.jpg,52.0
part1-images/bigben_13.jpg,part1-images/empirestate_12.jpg,54.0
part1-images/bigben_13.jpg,part1-images/eiffel_6.jpg,46.625
part1-images/bigben_13.jpg,part1-images/empirestate_10.jpg,45.0
part1-images/bigben_13.jpg,part1-images/eiffel_7.jpg,50.90909090909091
part1-images/bigben_13.jpg,part1-images/empirestate_14.jpg,53.083333333333336
part1-images/bigben_13.jpg,part1-images/empirestate_15.jpg,51.5
part1-images/bigben_13.jpg,part1-images/empirestate_22.jpg,47.5
part1-images/bigben_13.jpg,part1-images/empirestate_16.jpg,48.5
part1-images/bigben_13.jpg,part1-images/empirestate_25.jpg,51.8
part1-images/bigben_13.jpg,part1-images/empirestate_27.jpg,49.666666666666664
part1-images/bigben_13.jpg,part1-images/empirestate_23.jpg,54.0
part1-images/bigben_13.jpg,part1-images/empirestate_9.jpg,49.5
part1-images/bigben_13.jpg,part1-images/londoneye_12.jpg,1.7e+308
part1-images/bigben_13.jpg,part1-images/londoneye_13.jpg,47.333333333333336
part1-images/bigben_13.jpg,part1-images/londoneye_16.jpg,50.36842105263158
part1-images/bigben_13.jpg,part1-images/londoneye_2.jpg,50.083333333333336
part1-images/bigben_13.jpg,part1-images/londoneye_22.jpg,51.0
part1-images/bigben_13.jpg,part1-images/londoneye_21.jpg,50.214285714285715
part1-images/bigben_13.jpg,part1-images/londoneye_23.jpg,48.38461538461539
part1-images/bigben_13.jpg,part1-images/londoneye_17.jpg,1.7e+308
part1-images/bigben_13.jpg,part1-images/londoneye_8.jpg,51.57142857142857
part1-images/bigben_13.jpg,part1-images/londoneye_9.jpg,48.9
part1-images/bigben_13.jpg,part1-images/louvre_10.jpg,50.1
part1-images/bigben_13.jpg,part1-images/louvre_13.jpg,53.833333333333336
part1-images/bigben_13.jpg,part1-images/louvre_16.jpg,52.0
part1-images/bigben_13.jpg,part1-images/louvre_14.jpg,48.0
part1-images/bigben_13.jpg,part1-images/louvre_15.jpg,50.84615384615385
part1-images/bigben_13.jpg,part1-images/louvre_11.jpg,50.8125
part1-images/bigben_13.jpg,part1-images/louvre_3.jpg,52.888888888888886
part1-images/bigben_13.jpg,part1-images/louvre_8.jpg,1.7e+308
part1-images/bigben_13.jpg,part1-images/louvre_4.jpg,53.77777777777778
part1-images/bigben_13.jpg,part1-images/notredame_19.jpg,1.7e+308
part1-images/bigben_13.jpg,part1-images/louvre_9.jpg,48.666666666666664
part1-images/bigben_13.jpg,part1-images/notredame_1.jpg,46.2
part1-images/bigben_13.jpg,part1-images/notredame_14.jpg,1.7e+308
part1-images/bigben_13.jpg,part1-images/notredame_20.jpg,48.8
part1-images/bigben_13.jpg,part1-images/notredame_24.jpg,53.4
part1-images/bigben_13.jpg,part1-images/notredame_4.jpg,47.0
part1-images/bigben_13.jpg,part1-images/notredame_25.jpg,51.0
